Graph4
Time (Seconds),x (Meters),Y (Meters),Z (Meters)
29.949999,6.902586,0.349975,0.237311
30.000000,6.902709,0.359706,0.237313
30.049999,6.902825,0.369454,0.237314
30.099998,6.902947,0.379207,0.237312
30.150000,6.903055,0.388957,0.237309
30.199999,6.903170,0.398723,0.237305
30.250000,6.903295,0.408488,0.237292
30.299999,6.903406,0.418244,0.237290
30.349998,6.903523,0.427997,0.237277
30.400000,6.903633,0.437781,0.237265
30.449999,6.903756,0.447538,0.237255
30.500000,6.903863,0.457249,0.237274
30.549999,6.903972,0.467011,0.237262
30.599998,6.904104,0.476776,0.237261
30.650000,6.904226,0.486504,0.237268
30.699999,6.904343,0.496244,0.237274
30.750000,6.904469,0.505953,0.237294
30.799999,6.904592,0.515688,0.237296
30.849998,6.904706,0.525431,0.237301
30.900000,6.904832,0.535169,0.237307
30.949999,6.904953,0.544886,0.237314
31.000000,6.905074,0.554668,0.237300
31.049999,6.905187,0.564388,0.237317
31.099998,6.905307,0.574157,0.237303
31.150000,6.905419,0.583890,0.237313
31.199999,6.905551,0.593696,0.237279
31.250000,6.905667,0.603426,0.237298
31.299999,6.905788,0.613221,0.237270
31.349998,6.905903,0.622990,0.237248
31.400000,6.906016,0.632770,0.237235
31.449999,6.906146,0.642519,0.237239
31.500000,6.906258,0.652249,0.237250
31.549999,6.906364,0.661991,0.237252
31.599998,6.906488,0.671709,0.237262
31.650000,6.906604,0.681452,0.237268
31.699999,6.906718,0.691182,0.237273
31.750000,6.906843,0.700913,0.237277
31.799999,6.906955,0.710637,0.237289
31.849998,6.907080,0.720375,0.237295
31.900000,6.907191,0.730076,0.237316
31.949999,6.907314,0.739836,0.237310
32.000000,6.907434,0.749584,0.237310
32.049999,6.907548,0.759320,0.237318
32.099998,6.907659,0.769100,0.237291
32.149998,6.907789,0.778865,0.237287
32.200001,6.907904,0.788635,0.237276
32.250000,6.908029,0.798422,0.237255
32.299999,6.908141,0.808175,0.237254
32.349998,6.908263,0.817925,0.237253
32.399998,6.908381,0.827683,0.237241
32.450001,6.908499,0.837436,0.237238
32.500000,6.908622,0.847165,0.237249
